#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.260109E-05   0.198937E+08   0.198937E+08   0.265240E+08   0.265240E+08   0.198932E+08   0.198936E+08   0.198937E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.131445E+01
   0.266686E-05   0.198936E+08   0.198936E+08   0.265240E+08   0.265239E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.134769E+01
   0.273429E-05   0.198937E+08   0.198937E+08   0.265239E+08   0.265239E+08   0.198932E+08   0.198936E+08   0.198937E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.138177E+01
   0.280343E-05   0.198936E+08   0.198936E+08   0.265239E+08   0.265238E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.141671E+01
   0.287432E-05   0.198936E+08   0.198936E+08   0.265238E+08   0.265238E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.145253E+01
   0.294700E-05   0.198936E+08   0.198936E+08   0.265238E+08   0.265237E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.148926E+01
   0.302152E-05   0.198936E+08   0.198936E+08   0.265237E+08   0.265237E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.152691E+01
   0.309792E-05   0.198936E+08   0.198936E+08   0.265236E+08   0.265236E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.156552E+01
   0.317625E-05   0.198936E+08   0.198936E+08   0.265236E+08   0.265235E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.160510E+01
   0.325657E-05   0.198936E+08   0.198936E+08   0.265235E+08   0.265235E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.164569E+01
   0.333891E-05   0.198936E+08   0.198936E+08   0.265234E+08   0.265234E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.168730E+01
   0.342334E-05   0.198936E+08   0.198936E+08   0.265234E+08   0.265233E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.172997E+01
   0.350990E-05   0.198936E+08   0.198936E+08   0.265233E+08   0.265232E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.177371E+01
   0.359865E-05   0.198936E+08   0.198936E+08   0.265232E+08   0.265232E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.181856E+01
   0.368965E-05   0.198936E+08   0.198936E+08   0.265231E+08   0.265231E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.186454E+01
   0.378295E-05   0.198936E+08   0.198936E+08   0.265230E+08   0.265230E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.191168E+01
   0.387860E-05   0.198936E+08   0.198936E+08   0.265229E+08   0.265229E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.196002E+01
   0.397668E-05   0.198936E+08   0.198936E+08   0.265228E+08   0.265228E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.200958E+01
   0.407723E-05   0.198936E+08   0.198936E+08   0.265227E+08   0.265227E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.206039E+01
   0.418033E-05   0.198936E+08   0.198936E+08   0.265226E+08   0.265226E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.211249E+01
   0.428603E-05   0.198936E+08   0.198936E+08   0.265225E+08   0.265225E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.216590E+01
   0.439441E-05   0.198936E+08   0.198936E+08   0.265224E+08   0.265223E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.222066E+01
   0.450552E-05   0.198936E+08   0.198936E+08   0.265223E+08   0.265222E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.227681E+01
   0.461945E-05   0.198936E+08   0.198936E+08   0.265221E+08   0.265221E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.233438E+01
   0.473626E-05   0.198936E+08   0.198936E+08   0.265220E+08   0.265219E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.239340E+01
   0.485602E-05   0.198936E+08   0.198936E+08   0.265218E+08   0.265218E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.245392E+01
   0.497881E-05   0.198936E+08   0.198936E+08   0.265217E+08   0.265216E+08   0.198932E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.251596E+01
